"0hr"	"9.5hr"	"11.5hr"	"13.5hr"	"15.5hr"	"18.5hr"	"20.5hr"
"5387"	0.114	0.164	0.273	-0.828	-0.667	0.232	-0.026
"5388"	-0.119	-0.16	-0.549	-0.765	-0.733	-0.848	-0.661
"5389"	-0.176	0.055	-0.367	0.27	0.733	2.041	2.509
"5390"	-0.065	-0.016	0.038	-0.308	0.044	0.225	0.185
"5391"	0.027	0.058	0.01	-0.28	0.008	-0.196	0.037
"5392"	-0.049	-0.12	0.005	-0.049	0.69	1.487	1.015
"5393"	-0.162	-0.119	-0.169	-0.412	0.086	-0.046	-0.359
"5394"	-0.13	-0.327	-0.391	-0.282	0.19	0.786	0.171
"5395"	0.164	0.288	-0.104	-0.537	-0.236	-2.049	NA
"5396"	-0.358	-0.086	-0.085	-0.356	0.013	-0.186	NA
"5397"	-0.248	-0.038	-0.127	-0.172	-0.088	-0.337	0.292
"5398"	-0.014	0.073	0.049	0.198	0.534	0.402	0.916
"5399"	-0.173	-0.113	-0.15	-0.202	0.266	1.521	1.224
"5400"	-0.209	0.17	-0.245	-0.159	-0.046	-0.171	0.341
"5401"	0.496	0.374	0.305	0.408	0.507	-1.044	-1.246
"5402"	0.085	0.085	0.025	0.163	0.569	0.558	0.428
"5403"	-0.307	0.104	0.371	0.063	0.433	0.967	0.611
"5404"	0.581	0.651	0.484	-0.159	-0.297	-1.334	-1.3
"5405"	-0.411	-0.29	-0.182	-0.25	0.152	0.581	NA
"5406"	0.349	0.275	0.33	-0.64	-0.645	-0.846	-1.189
"5407"	-0.216	0.022	0.121	0.389	1.058	1.997	2.436
"5408"	-0.256	-0.158	0.102	-0.056	0.075	0.647	0.315
"5409"	0.08	0.187	-0.241	-0.66	-0.359	1.729	2.15
"5410"	0.258	0.296	-0.026	-0.091	-0.032	-1.75	-2.234
"5411"	0.05	0.15	-0.148	0.068	0.074	-0.223	0.231
"5412"	0.056	0.216	0.403	-0.055	0.169	0.322	-0.581
"5413"	0.055	0.279	0.129	0.002	0.191	0.458	0.308
"5414"	-0.216	0.045	0.363	0.236	0.386	0.821	0.695
"5415"	0.13	0.027	0.09	0.282	0.195	0.567	0.512
"5416"	0.21	0.362	0.482	0.533	0.406	0.563	0.009
"5417"	-0.135	-0.133	-0.025	0.584	0.81	2.465	2.259
"5418"	0.077	-0.013	-0.298	-0.384	-0.508	-0.839	-0.551
"5419"	0.142	0.317	0.415	0.131	-0.029	0.078	0.016
"5420"	0.135	0.38	0.413	0.473	0.427	0.097	-0.087
"5421"	-0.327	-0.108	0.286	0.907	1.303	1.722	1.789
"5422"	-0.028	0.104	0.327	0.191	0.634	0.887	1.212
"5423"	0.247	0.321	-0.041	-0.297	-0.317	-0.003	-0.243
"5424"	0.235	0.421	0.491	-0.039	-0.223	-0.144	-0.599
"5425"	0.323	0.422	0.371	-0.154	-0.062	-1.61	-2.084
"5426"	0.169	0.343	0.929	0.335	0.492	0.673	0.56
"5427"	0.306	0.462	-0.138	-0.389	-0.266	-0.566	0.119
"5428"	-0.008	0.16	0.57	0.426	0.624	1.228	0.898
"5429"	-0.004	-0.062	0.497	0.389	0.587	1.17	0.983
"5430"	-0.023	-0.092	0.329	0.056	0.021	0.845	1.689
"5431"	-0.2	-0.086	0.128	0.207	0.368	1.359	1.612
"5432"	0.336	0.552	0.343	0.033	0.093	-0.857	-0.408
"5433"	-0.114	-0.174	-0.64	-0.493	-0.211	-0.531	0.387
"5434"	0.081	0.235	0.767	1.176	1.947	2.593	2.48
"5435"	-0.042	0.024	0.373	0.113	0.466	0.744	0.72
"5436"	-0.23	-0.504	0.54	0.993	1.972	4.372	2.897
"5437"	0.128	-0.1	0.101	-0.142	0.322	-0.127	0.061
"5438"	0.499	0.429	-0.083	-0.564	-0.612	-2.522	-1.778
"5439"	0.179	-0.06	0.134	0.125	0.299	0.389	0.783
"5440"	-0.112	-0.038	-0.241	-0.65	0.216	0.549	0.289
"5441"	-0.093	-0.034	-0.296	0.085	0.066	-0.228	0.294
"5442"	0.12	0.092	0.158	-0.348	-0.23	0.008	-0.308
"5443"	0.044	-0.043	0.033	-0.272	-0.16	0.82	-0.124
"5444"	-0.597	-0.196	0.476	-0.078	0.133	1.115	1.111
"5445"	-0.173	-0.161	-0.111	-0.041	0.342	0.835	1.045
"5446"	-0.015	0.18	-0.167	-0.046	0.053	-0.336	0.047
"5447"	0.2	0.247	0.067	0.32	0.255	0.183	0.101
"5448"	-0.009	0.118	-0.177	-0.039	-0.234	-0.57	-0.109
"5449"	-0.236	0.034	0.343	0.215	-0.19	0.718	0.262
"5450"	-0.454	-0.097	0.251	NA	-0.867	0.925	0.908
"5451"	-0.109	-0.004	-0.188	-0.166	-0.192	-0.604	0.05
"5452"	-0.247	-0.019	0.267	0.219	0.061	0.989	0.935
"5453"	-0.846	-0.564	0.299	0.148	0.769	1.518	0.838
"5454"	-0.172	-0.095	0.39	0.347	0.696	1.485	2.02
"5455"	-0.334	-0.268	0.114	0.161	-0.212	0.957	0.538
"5456"	0.026	-0.092	-0.29	-0.457	-0.706	-0.92	0.012
"5457"	-0.196	0.062	0.032	0.076	-0.181	0.297	0.499
"5458"	-0.216	0.079	0.299	0.133	0.216	0.717	1.124
"5459"	0.144	0.248	0.017	0.151	0.235	0.299	0.459
"5460"	0.379	0.642	0.89	0.866	0.998	1.126	NA
"5461"	0.003	0.182	0.443	0.349	0.36	1.058	0.694
"5462"	-0.4	-0.369	0.466	-0.042	0.043	0.873	NA
"5463"	-0.001	0.227	-0.024	0.456	1.231	1.855	1.206
"5464"	0.34	0.33	0.085	0.285	0.425	0.688	0.579
"5465"	1.959	NA	NA	0.669	1.023	-0.886	0.692
"5466"	-0.103	-0.151	0.305	-0.125	-0.079	0.608	0.434
"5467"	-0.23	-0.238	0.071	-0.225	-0.65	0.652	0.38
"5468"	-0.268	-0.098	0.245	-0.158	0.218	0.941	0.472
"5469"	-0.144	0.091	0.007	-0.046	-0.119	-0.456	-0.213
"5470"	-0.344	0.043	0.115	-0.164	0.115	0.005	0.455
"5471"	-0.089	-0.021	0.327	0.201	0.576	1.085	0.312
"5472"	0.007	0.309	0.166	0.058	0.173	0.046	0.309
"5473"	-0.133	-0.158	-0.11	-0.159	0.254	0.64	0.388
"5474"	0.008	-0.047	-0.352	-0.419	-0.157	-0.422	-0.001
"5475"	-0.126	-0.176	-0.057	-0.095	-0.028	-0.613	-0.58
"5476"	-0.166	0.03	-0.182	-0.262	-0.363	-0.241	0.261
"5477"	-0.071	0.018	-0.022	-0.003	0.457	-0.114	0.502
"5478"	0.074	0.075	-0.346	-0.63	-0.16	-0.607	-0.514
"5479"	-0.12	-0.102	-0.452	-0.44	0.079	0.052	1.17
"5480"	0.008	0.207	0.189	-0.46	-0.033	-1.102	-0.36
"5481"	-0.072	0.25	0.521	0.196	0.556	0.895	0.96
"5482"	0.149	0.119	0.142	-0.612	-0.668	-0.67	-0.968
"5483"	-0.038	-0.17	0.232	-0.011	0.522	0.923	0.81
"5484"	0.025	0.492	0.668	1.438	1.59	1.944	1.357
"5485"	0.238	0.208	0.005	0.033	0.184	0.438	0.165
"5486"	0.285	0.522	0.158	-0.325	-0.197	-0.095	-0.538
"5487"	0.167	0.284	0.225	0.376	0.874	0.868	0.45
"5488"	-0.098	0.038	0.627	0.019	0.477	0.839	0.804
"5489"	0.078	0.129	0.457	0.831	0.015	0.711	0.584
"5490"	-0.136	-0.159	0.114	0.585	0.559	0.7	0.427
"5491"	-0.151	-0.172	-0.038	-0.141	-0.157	-0.158	0.003
"5492"	0.277	0.262	0.218	0.154	0.232	0.443	0.479
"5493"	-0.122	0.036	0.427	0.134	0.192	0.664	0.438
"5494"	-0.075	0.059	-0.063	-0.035	0.104	-0.131	0.198
"5495"	-0.135	-0.035	-0.108	0.275	0.662	1.329	1.35
"5496"	-0.494	-0.333	0.485	0.235	0.838	0.863	1.033
"5497"	-0.246	-0.189	0.428	0.195	0.405	0.746	0.465
"5498"	0.084	0.104	-0.335	-0.242	-0.198	0.068	0.283
"5499"	-0.195	-0.257	0.038	-0.056	-0.458	0.632	0.636
"5500"	-0.67	-0.318	0.388	0.085	0.068	1.198	1.103
"5501"	0.13	0.187	0.318	0.445	0.532	1.08	1.201
"5502"	0.109	0.282	0.424	0.01	0.155	0.117	NA
"5503"	-0.357	-0.186	0.539	0.171	-0.01	0.713	0.705
"5504"	0.335	0.748	0.465	0.017	-0.014	0.147	-0.359
"5505"	0.125	0.124	0.54	0.336	0.413	0.399	-0.107
"5506"	-0.018	0.221	-0.062	-0.101	-0.012	-0.261	-0.286
"5507"	-0.748	-0.274	0.223	-0.301	-0.554	0.805	0.765
"5508"	0.09	0.058	0.235	-0.502	-0.175	-0.303	-0.343
"5509"	0.179	0.272	-0.037	-0.009	0.367	0.237	-0.32
"5510"	0.39	0.45	0.243	-0.087	0.108	-1.507	-1.717
"5511"	0.293	-0.073	-0.354	-1.075	-0.923	-1.108	-0.101
"5512"	-0.039	0.119	0.174	0.023	0.232	0.454	0.121
"5513"	-0.022	-0.022	0.427	0.228	0.571	1.782	0.854
"5514"	-0.109	-0.014	-0.252	-0.243	-0.008	-0.339	0.752
"5515"	-0.296	-0.135	0.119	-0.328	0.114	0.959	1.221
"5516"	0.109	0.027	0	-0.393	-0.045	-0.562	-0.026
"5517"	-0.039	0.42	0.116	0.012	0.605	0.925	0.6
"5518"	-0.562	-0.05	-0.413	-0.598	0.33	0.371	0.542
"5519"	0.006	0.304	0.306	0.148	0.484	-0.122	0.656
"5520"	-0.123	-0.128	0.122	0.006	0.695	-0.425	-0.349
"5521"	-0.019	0.105	-0.196	-0.196	-0.659	-1.238	-0.308
"5522"	-0.367	-0.356	-0.446	-0.197	-0.331	-0.118	0.056
"5523"	-0.05	0.048	-0.033	0.056	0.122	0.005	-0.104
"5524"	-0.161	-0.017	-0.311	0.108	0.13	0.465	0.638
"5525"	0.086	0.09	-0.113	-0.089	0.016	-0.46	-0.569
"5526"	-0.251	-0.18	0.034	0.001	0.259	-0.485	-0.479
"5527"	-0.271	-0.144	0.194	-0.035	0.146	0.022	0.069
"5528"	0.108	0.075	-0.408	-0.607	-0.573	-0.011	0.357
"5529"	-0.1	-0.048	-0.09	-0.029	-0.115	0.171	0.523
"5530"	0.125	0.106	-0.083	-0.03	-0.126	-0.393	-0.186
"5531"	0.279	0.097	0.308	0.532	0.567	1.202	0.549
"5532"	0.257	0.214	0.189	-0.094	-0.408	0.094	0.078
"5533"	0.172	0.408	-0.09	0.107	-0.021	-0.921	-0.856
"5534"	-0.15	-0.315	-0.563	-0.242	-0.366	-0.221	-0.032
"5535"	-0.073	-0.013	-0.466	-0.433	-0.4	-0.299	-0.071
"5536"	-0.059	0.115	-0.177	-0.067	0.056	-0.34	-0.323
"5537"	-0.26	-0.161	0.158	0.636	0.815	2.13	2.095
"5538"	-0.167	-0.106	-0.413	0.059	0.177	0.476	0.575
"5539"	0.036	-0.012	-0.096	-0.345	-0.021	-0.404	-0.341
"5540"	0.123	0.273	-0.173	-0.067	0.241	-0.003	0.26
"5541"	-0.144	-0.044	-0.16	0.655	1.104	1.919	2.179
"5542"	-0.065	0.214	-0.043	-0.253	0.059	0.062	-0.3
"5543"	-0.02	0.347	0.701	1.363	1.872	3.289	1.562
"5544"	-0.278	-0.209	-0.483	0.172	0.483	2.509	1.815
"5545"	0.094	0.137	0.161	-0.464	-0.55	0.191	-0.563
"5546"	-0.311	0.038	-0.405	-0.377	-0.377	-0.219	0.859
"5547"	0.11	-0.068	0.237	0.104	0.07	-0.132	-0.247
"5548"	0.405	0.254	0.134	-0.135	-0.119	-1.562	-1.852
"5549"	-0.195	-0.249	-1.021	-0.567	-0.456	-0.115	-0.259
"5550"	0.04	0.094	-0.337	-0.469	-0.148	-0.186	0.368
"5551"	-0.443	0.073	-0.441	-0.277	-0.428	-0.382	NA
"5552"	-0.757	-0.389	-0.434	-0.368	-0.44	-0.254	0.079
"5553"	-0.376	-0.017	-0.245	-0.185	-0.468	0.036	0.727
"5554"	-0.21	-0.167	0.228	0.291	0.637	1.02	0.804
"5555"	-0.055	-0.211	-0.424	-0.385	-0.214	-0.905	0.004
"5556"	-0.274	-0.639	-0.031	-0.222	0.404	0.819	0.948
"5557"	0.091	-0.124	0.06	-0.514	-0.249	-0.877	0.296
"5558"	-0.23	-0.084	-0.376	-0.184	-0.096	-0.888	-0.098
"5559"	0.054	0.013	0.201	-0.285	0.152	-0.107	0.802
"5560"	-0.149	0.049	0.339	-0.239	0.422	0.147	0.649
"5561"	0.122	0.074	-0.298	-0.159	-0.34	-0.382	-0.148
"5562"	-0.083	-0.104	0.053	-0.187	-0.081	0.896	0.121
"5563"	0.252	0.195	0.295	0.311	0.57	0.793	0.25
"5564"	-0.566	-0.467	0.495	0.073	0.804	1.149	0.856
"5565"	-0.138	0.209	0.383	-0.541	-0.556	0.453	-0.144
"5566"	-0.118	-0.471	0.356	-0.108	0.111	1.21	0.857
"5567"	-0.376	-0.279	0.365	0.164	0.114	0.956	0.904
"5568"	-0.196	-0.003	-0.191	0.142	0.067	-0.071	0.221
"5569"	0.383	0.455	0.567	0.515	0.618	-0.249	-0.6
"5570"	0.023	0.384	0.63	0.441	0.518	0.633	0.655
"5571"	-0.064	-0.222	-0.464	-0.228	-0.1	0.032	-0.317
"5572"	0.442	0.508	0.381	0.219	0.099	0.402	-0.205
"5573"	0.267	0.243	0.064	-0.519	-0.546	-0.707	-0.911
"5574"	0.244	0.145	-0.364	-0.243	-0.364	-0.834	-1.099
"5575"	0.279	0.637	1.114	0.679	0.936	0.778	0.858
"5576"	-0.198	-0.18	-0.243	0.041	-0.039	-0.089	0.227
"5577"	-0.024	0.028	-0.024	0.185	0.218	0.004	-0.039
"5578"	0.048	0.027	0.382	0.325	0.582	1.016	0.841
"5579"	0.442	0.379	-0.02	0.164	0.319	0.652	0.885
"5580"	-0.305	-0.045	0.341	0.028	0.326	1.354	1.318
"5581"	0.114	0.159	0.409	0.133	0.467	0.456	0.376
"5582"	0.13	0.05	0.525	0.355	0.293	0.957	0.936
"5583"	0.111	0.135	0.49	0.491	0.805	1.443	0.727
"5584"	-0.36	-0.376	-0.116	-0.13	0.373	0.686	0.472
"5585"	-0.121	0.093	0.78	0.654	0.853	1.102	1.153
"5586"	0.136	0.274	0.274	0.113	0.38	0.236	-0.255
"5587"	-0.043	0.103	0.25	-0.088	0.156	0.081	0.46
"5588"	-0.217	-0.134	0.114	0.06	0.131	0.248	0.808
"5589"	-0.197	0.351	0.965	1.021	1.559	1.709	1.556
"5590"	0.069	0.238	0.505	0.179	0.27	0.554	0.604
"5591"	-0.232	-0.137	-0.019	-0.611	-0.169	0.641	0.604
"5592"	0.156	0.017	0.294	0.254	0.35	0.005	0.458
"5593"	0.046	0.225	0.098	0.114	0.282	0.986	0.667
"5594"	0.166	0.579	-0.208	-0.53	-0.271	0.226	0.124
"5595"	-0.332	0.146	-0.079	0.243	0.865	2.229	2.668
"5596"	-0.161	-0.113	0.299	0.084	0.238	-0.02	0.606
"5597"	-0.229	-0.331	-0.427	-0.424	-0.456	-0.172	0.267
"5598"	-0.028	0.143	-0.198	-0.979	-0.865	-3.216	-1.634
"5599"	0.039	0.098	0.025	-0.026	0.2	0.819	0.371
"5600"	0.012	-0.07	0.18	-0.751	-0.607	-1.277	-0.019
"5601"	-0.31	-0.179	-0.112	-0.162	0.063	-0.151	0.013
"5602"	0.01	-0.053	-0.064	-0.101	0.257	-0.067	-0.012
"5603"	-0.543	-0.037	0.624	0.18	1.016	1.196	1.099
"5604"	0.107	0.313	0.327	-0.464	-0.364	-0.194	0.014
"5605"	-0.254	0.039	-0.153	-0.195	0.273	0.551	0.198
"5606"	-0.136	0.39	0.294	-0.243	-0.145	0.794	0.793
"5607"	0.042	0.362	0.179	0.346	0.765	2.024	1.694
"5608"	-0.639	-0.348	0.332	0.009	-0.306	1.346	1.546
"5609"	-0.466	0.029	0.452	0.502	1.421	1.795	2.013
"5610"	0.004	0.212	-0.175	0.135	0.268	-1.271	-1.124
"5611"	-0.201	0.424	0.542	1.068	1.204	1.431	0.397
"5612"	-0.104	-0.201	-0.244	-0.161	-0.329	-0.274	-0.489
"5613"	-0.008	-0.141	-0.407	-0.061	-0.025	0.997	0.143
"5614"	0.391	0.33	0.057	-0.216	-0.392	-1.858	-2.013
"5615"	-0.036	0.04	0.121	0.047	0.031	0.241	0.091
"5616"	-0.075	-0.17	-0.576	-0.315	-0.198	0.429	-0.038
"5617"	0.058	-0.163	-1.235	-1.072	-1.193	-0.992	-0.458
"5618"	0.118	0.221	-0.204	0.014	0.108	0.007	-0.608
"5619"	-0.246	0.018	0.194	0.205	0.306	0.329	0.506
"5620"	0.209	-0.039	0.022	0.027	0.047	0.456	0.369
"5621"	-0.139	-0.053	-0.263	-0.21	0.096	-0.271	-0.047
"5622"	-0.101	0.041	0.139	0.102	0.569	0.591	0.709
"5623"	0.032	0.029	-0.146	0.162	0.322	0.934	0.68
"5624"	-0.148	-0.011	-0.471	-0.313	0.342	1.428	1.105
"5625"	0.112	0.192	-0.104	-0.155	0.057	0.062	0.152
"5626"	0.15	0.473	0.624	0.494	0.565	0.205	-0.001
"5627"	-0.22	-0.057	-0.229	-0.486	-0.601	-1.525	-0.9
"5628"	-0.01	0.012	-0.374	-0.115	0.087	0.764	0.618
"5629"	-0.499	-0.157	-0.359	-0.37	-0.21	0.149	0.218
"5630"	-0.188	0.168	-0.113	-0.096	0.548	1.447	1.241
"5631"	-0.024	-0.16	-0.235	-0.167	0.082	0.863	0.563
"5632"	-0.053	0.18	-0.131	-0.333	-0.027	-0.643	-0.822
"5633"	0.14	0.438	-0.104	-0.017	0.034	-0.301	-0.197
"5634"	0.098	0.387	-0.177	-0.161	0.241	-0.037	-0.244
"5635"	-0.075	0.107	-0.185	-0.203	-0.301	-0.679	-0.087
"5636"	0.196	0.264	0.508	0.676	0.986	0.673	0.778
"5637"	0.228	0.162	-0.349	-0.406	-0.284	-0.192	1.01
"5638"	-0.071	-0.142	-0.042	0.105	0.565	1.302	2.226
"5639"	-0.3	0.036	-0.052	0.02	0.335	1.373	1.169
"5640"	-0.351	-0.132	-0.265	-0.206	0.171	0.501	0.578
"5641"	-0.017	-0.026	-0.249	0.032	NA	-0.05	0.486
"5642"	-0.172	0.43	0.395	0.145	NA	0.785	0.291
"5643"	0.257	0.238	0.289	-0.495	NA	-0.654	-1.045
"5644"	0.11	0.186	0.469	-0.171	0.516	0.767	0.293
"5645"	-0.044	0.044	0.187	-0.013	0.742	0.591	0.408
"5646"	-0.093	-0.118	-0.297	-0.158	0.139	-0.343	-0.467
"5647"	0.232	0.391	-0.289	-0.217	-0.176	0.482	0.672
"5648"	-0.262	-0.164	0.116	-0.261	-0.596	0.774	0.676
"5649"	-0.755	-0.41	0.89	0.073	0.154	1.834	4.24
"5650"	-0.149	-0.106	-0.019	-0.323	-0.195	0.554	NA
"5651"	0.088	-0.063	0.35	0.367	0.719	1.121	0.696
"5652"	-0.008	0.059	-0.336	0.184	0.333	-0.027	-0.001
"5653"	0.187	0.259	0.129	0.372	0.279	0.426	0.902
"5654"	0.289	0.332	0.519	0.21	0.204	0.702	0.989
"5655"	-0.034	-0.103	0.012	NA	0.067	1.178	0.782
"5656"	0.133	0.208	0.185	0.574	0.827	1.376	2.55
"5657"	0.165	0.373	0.09	-0.184	-0.173	-1.789	-2.097
"5658"	-0.088	-0.03	-0.311	0.361	0.549	1.452	0.755
"5659"	0.133	0.217	0.382	0.562	0.682	0.108	-0.451
"5660"	-0.012	-0.094	-0.082	-0.089	0.022	0.042	-0.115
"5661"	0.146	0.416	0.458	0.291	0.551	-0.563	-0.838
"5662"	0.134	0.344	-0.333	-0.365	-0.185	-1.469	-2.236
"5663"	0.032	0.081	-0.337	-0.964	-0.683	-0.717	-0.023
"5664"	-0.324	-0.335	-0.834	-0.696	-0.838	0.109	0.991
"5665"	0.041	0.289	-0.181	-0.088	0.109	-0.134	0.161
"5666"	-0.029	-0.114	-0.077	0.294	0.567	1.279	0.607
"5667"	0.046	0.166	0.252	0.2	0.142	0.727	0.936
"5668"	0.225	0.362	0.064	0.141	-0.043	-0.989	-1.748
"5669"	0.081	0.263	0.267	0.52	0.499	-0.212	-0.196
"5670"	0.056	0.024	-0.345	-0.224	0.03	-0.072	0.326
"5671"	0.014	-0.146	-0.474	-0.609	-0.134	-0.162	-0.544
"5672"	-0.131	-0.015	-0.07	0.483	0.878	3.843	3.191
"5673"	-0.012	-0.05	0.383	0.02	0.279	0.326	0.604
"5674"	-0.504	-0.249	-0.267	-0.737	-0.256	-1.335	-0.326
"5675"	0.031	-0.149	-0.275	-0.616	-0.224	-0.091	0.178
"5676"	0.178	0.387	0.66	0.575	1.011	0.233	1.444
"5677"	-0.111	-0.121	-0.18	-0.364	0.099	-0.163	0.235
"5678"	-0.516	-0.321	-0.278	-0.429	-0.247	0.923	1.441
"5679"	-0.229	-0.113	-0.381	-0.239	-0.038	0.514	0.717
"5680"	-0.161	-0.144	-0.282	-0.428	-0.399	-1.206	-0.392
"5681"	0.163	0.363	0.241	0.246	0.225	-0.922	-1.504
"5682"	0.081	0.12	0.077	0.152	0.389	0.321	-0.084
"5683"	0.22	0.116	0.046	-0.055	0.104	0.099	0.362
"5684"	0.229	0.195	-0.165	-0.073	-0.091	-0.554	-0.346
"5685"	-0.456	-0.421	-0.578	-0.429	-0.712	-1.032	-0.681
"5686"	-0.012	-0.002	-0.035	-1.002	-1.034	-0.751	-1.66
"5687"	0.183	0.322	0.231	0.068	0.172	-0.603	-0.781
"5688"	0.14	-0.117	-0.239	-0.878	-0.767	-1.645	-1.797
"5689"	0.253	0.723	1.303	1.773	1.66	0.555	0.437
"5690"	0.18	0.443	0.783	1.035	0.969	0.393	0.067
"5691"	0.217	0.187	0.47	0.025	0.024	0.407	-0.703
"5692"	-0.257	-0.193	-0.294	0.138	0.196	-0.993	-0.169
"5693"	-0.011	0.258	0.488	1.226	2.079	2.798	2.171
"5694"	0.083	-0.003	-0.121	0.057	0.377	1.186	0.473
"5695"	0.15	0.175	0.407	0.386	0.571	0.81	0.443
"5696"	0.117	0.162	0.087	0.381	0.91	1.396	1.406
"5697"	-0.053	-0.133	-0.231	-0.135	0.052	0.446	0.703
"5698"	0.095	0.191	0.086	-0.109	-0.469	0.63	0.319
"5699"	0.298	0.538	0.368	-0.016	-0.123	-0.278	-0.174
"5700"	0.059	-0.067	-0.341	-0.184	0.24	0.605	0.626
"5701"	0.033	0.084	0.582	-0.61	-0.854	0.235	0.165
"5702"	0.204	0.488	0.367	0.149	0.167	0.998	0.505
"5703"	-0.122	-0.038	-0.327	-0.171	0.054	0.803	1.261
"5704"	-0.374	-0.141	0.351	0.099	0.036	0.621	0.556
"5705"	-0.031	0.198	0.507	0.832	0.975	2.799	2.188
"5706"	0.129	0.341	0.107	0.148	0.31	0.07	-1.042
"5707"	-0.077	-0.079	-0.24	0.297	0.565	1.17	0.864
"5708"	-0.211	-0.226	-0.066	0.361	0.55	1.094	0.677
"5709"	-0.057	0.244	-0.147	-0.192	-0.003	1.066	1.772
"5710"	-0.227	0.04	-0.311	-0.415	-0.057	-0.466	-0.176
"5711"	0.176	0.381	0.702	0.304	0.285	0.164	0.733
"5712"	-0.183	-0.315	-0.43	-0.56	-0.239	0.24	0.551
"5713"	0.152	-0.001	-0.337	-1.059	-1.078	-2.249	-0.883
"5714"	-0.002	0.023	-0.365	0.433	0.841	2.594	1.86
"5715"	-0.145	0.077	-0.369	-0.023	-0.038	0.007	0.252
"5716"	0.031	0.091	-0.033	-0.173	0.262	-0.092	0.507
"5717"	-0.341	-0.225	-0.425	-0.206	-0.278	-0.324	0.552
"5718"	-0.171	-0.449	-0.561	-0.567	0.123	0.335	0.689
"5719"	-0.268	-0.141	-0.711	-0.318	-0.17	-0.913	0.071
"5720"	-0.471	-0.046	0.063	-0.161	0.281	3.613	4.249
"5721"	0.123	0.413	0.858	0.608	0.831	0.496	0.482
"5722"	-0.184	-0.321	-0.398	0.125	0.553	0.303	0.291
"5723"	0.065	-0.027	-0.031	-0.152	-0.142	-0.284	-0.012
"5724"	-0.047	-0.131	-0.267	0.069	-0.118	-0.368	0.181
"5725"	0.029	-0.154	-0.079	0.322	0.635	1.515	0.999
"5726"	0.106	0.12	0.466	0.734	1.15	2.199	1.997
"5727"	0.303	0.374	0.177	0.297	0.466	0.471	0.867
"5728"	-0.046	0.004	0.255	0.374	0.792	1.224	0.706
"5729"	-0.006	-0.13	0.493	0.229	0.398	0.913	0.59
"5730"	0.23	0.242	0.157	-0.701	-1.089	0.093	-0.95
"5731"	0.034	0.178	-0.055	-0.018	-0.122	0.574	0.023
"5732"	-0.781	-0.355	-0.197	-0.16	-0.501	-0.108	0.062
"5733"	0.248	0.436	0.508	-0.02	-0.315	0.398	-0.232
"5734"	0.118	0.126	0.329	-0.106	0.016	0.213	0.051
"5735"	0.114	0.377	0.215	0.328	0.482	0.669	2.092
"5736"	-0.816	-0.314	0.538	-0.063	0.265	0.71	0.813
"5737"	0.175	0.267	-0.003	0.08	0.002	-0.113	0.279
"5738"	-0.045	0.191	-0.415	-0.337	-0.359	-1.554	-1.41
"5739"	0.134	-0.005	0.355	0.049	-0.066	0.693	0.176
"5740"	0.156	0.045	0.357	0.089	0.028	0.627	0.256
"5741"	0.406	0.163	0.09	0.109	0.109	-1.231	-1.487
"5742"	-0.094	-0.252	-0.616	-1.014	-0.892	-0.044	-0.606
"5743"	0.15	0.241	0.361	0.285	0.563	1.013	0.968
"5744"	0.295	0.477	0.46	0.319	0.553	0.859	0.993
"5745"	-0.314	-0.185	-0.1	-0.195	-0.113	0.575	0.479
"5746"	0.074	0.015	-0.021	0.008	0.397	0.537	0.739
"5747"	0.097	0.241	0.295	-0.033	0.085	0.023	0.105
"5748"	-0.044	-0.231	-0.221	0.133	0.25	1.022	1.145
"5749"	0.17	0.444	-0.187	-0.033	0.222	0.781	0.268
"5750"	0.169	0.208	0.171	-0.02	0.133	0.272	0.414
"5751"	0.177	0.023	0.078	-0.041	0.441	-0.072	-0.104
"5752"	0.262	0.504	0.603	0.583	1.254	0.703	0.541
"5753"	-0.076	0.2	0.212	0.275	0.597	0.428	0.974
"5754"	-0.147	0.083	-0.263	-0.168	-0.12	-0.298	0.133
"5755"	0.127	0.322	0.035	-0.561	0.168	-1.396	-2.381
"5756"	-0.196	0.06	-0.069	0.511	1.08	2.229	1.445
"5757"	0.082	0.096	0.24	0.185	0.448	0.512	1.153
"5758"	-0.334	-0.07	-0.332	-0.328	0.11	-0.04	0.411
"5759"	0.116	0.112	0.077	0.54	1.17	1.662	1.035
"5760"	0.344	0.299	-0.43	0.374	0.469	1.208	2.059
"5761"	0.126	0.06	-0.208	-0.071	-0.153	-0.25	-0.075
"5762"	0.103	0.44	0.168	0.154	0.168	0.427	0.252
"5763"	-0.116	-0.08	0.229	0.159	0.126	0.75	0.862
"5764"	0.222	0.237	0.248	0.252	0.512	0.474	0.074
"5765"	-0.123	-0.023	0.271	0.253	0.337	0.828	0.988
"5766"	-0.127	-0.247	-0.471	-0.31	-0.494	0.241	-0.02
"5767"	0.175	-0.163	-0.315	-0.578	-0.713	-1.724	-1.817
"5768"	0.028	-0.175	-0.179	0.238	0.34	0.982	0.305
"5769"	-0.531	-0.798	-0.545	-0.174	-2.52	0.757	0.354
"5770"	-0.037	0.061	0.283	0.028	0.006	0.617	0.184
"5771"	0.306	0.215	0.092	-0.236	-0.484	-0.709	-1.018
"5772"	0.179	-0.064	-0.489	-0.274	-0.136	-0.357	-0.156
"5773"	0.092	0.134	0.126	0.19	0.534	0.639	-0.05
"5774"	0	0.196	0.323	0.206	0.609	1.148	0.862
